tag,states,population,max_abs_error_pp,dropped_ideologies,target_Communist,actual_Communist,target_Socialist,actual_Socialist,target_Social Democrat,actual_Social Democrat,target_Social Liberal,actual_Social Liberal,target_Market Liberal,actual_Market Liberal,target_Social Conservative,actual_Social Conservative,target_Authoritarian Democratic,actual_Authoritarian Democratic,target_Autocratic,actual_Autocratic,target_National Mysticist,actual_National Mysticist,target_Apolitical,actual_Apolitical
ACR,34,92245972,1.3877787807814457e-15,,20.0,20.0,50.0,50.0,20.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKZ,1,50000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,80.0,80.0,10.0,10.0,0.0,0.0
ALK,5,5530000,0.38959212376933894,,2.0,2.011008882618286,2.0,1.8886879646373316,3.0,3.016513323927429,4.0,4.022017765236572,2.0,2.011008882618286,2.0,2.011008882618286,70.0,70.38531089163999,8.0,8.044035530473144,7.000000000000001,6.610407876230662,0.0,0.0
AUR,15,30797660,2.2193601019460107e-06,,3.0,2.999997780639898,3.0,3.000000087068596,3.0,3.000000047305941,5.0,5.000000141333945,2.0,2.000000055112517,3.0,3.0000000546419896,10.0,9.999999995470974,20.0,20.000000602547384,51.0,51.000001235878756,0.0,0.0
BRA,12,28379400,0.011620203822090835,,4.0,4.0005433209413885,3.0,3.000422180128576,3.0,3.000320619567353,19.0,19.002235233926264,10.0,9.98837979617791,56.00000000000001,56.007455293996756,0.0,0.0,2.0,2.000278059817094,3.0,3.0003654954446577,0.0,0.0
BSS,45,27827000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,70.0,70.0,20.0,20.0,0.0,0.0
CAT,19,40507231,1.1102230246251565e-14,,0.0,0.0,0.0,0.0,0.0,0.0,14.000000000000002,14.000000000000004,59.0,59.00000000000001,7.000000000000001,7.000000000000002,10.0,10.000000000000002,10.0,10.000000000000002,0.0,0.0,0.0,0.0
CLE,11,25638202,4.757083615913871e-10,,2.0,2.0000000000478564,2.0,2.0000000000467875,2.0,2.0000000000410747,3.0,2.999999999969343,1.0,0.9999999999909434,1.0,0.9999999999858422,16.0,15.999999999803968,25.0,25.00000000047571,48.0,47.999999999638476,0.0,0.0
CRE,5,3298271,3.174862191081762,,2.0,0.0,2.0,0.0,2.0,2.222315873983672,79.0,82.17486219108177,0.0,0.0,0.0,0.0,5.0,5.200940644935955,7.000000000000001,7.2813169029955045,3.0,3.120564387003103,0.0,0.0
DOM,2,7560000,4.276595744680856,3;4;5,2.0,0.0,2.0,2.1276595744680855,2.0,2.1276595744680855,2.0,0.0,1.0,0.0,1.0,0.0,5.0,5.319148936170212,18.0,19.148936170212764,67.0,71.27659574468086,0.0,0.0
DUR,2,10000000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
