state_id,file,owner,population_k,category,species_shares,culture_shares,politics,warnings
4,4-East Infernum's Castle.txt,MER,1010.0,town,29:1.000000,68:1.000000,4:0.561174;5:0.112538;6:0.326288,
5,5-New Iantrus.txt,SLC,5810.0,megalopolis,49:1.000000,51:1.000000,9:1.000000,
7,7-State_7.txt,HYP,3500.0,large_city,1:1.000000,38:1.000000,7:0.134916;8:0.865084,
8,8-State_8.txt,HYP,1200.0,large_town,1:1.000000,38:1.000000,7:0.170522;8:0.829478,
11,11-State_11.txt,HYP,1900.0,large_town,1:1.000000,38:1.000000,7:0.189502;8:0.810498,
12,12-Pawldrininsel.txt,IMF,95.0,rural,1:0.751032;4:0.248968,4:1.000000,6:1.000000,
13,13-State_13.txt,SIL,2450.0,large_town,1:1.000000,21:1.000000,4:0.066748;7:0.933252,
14,14-State_14.txt,HYP,1876.924,town,1:1.000000,38:1.000000,7:0.155139;8:0.844861,
15,15-State_15.txt,POT,1669.231,large_town,1:1.000000,38:1.000000,1:0.105787;2:0.141050;7:0.753163,
16,16-Nordkatzrrhen.txt,IMF,210.0,town,1:0.746596;4:0.253404,4:1.000000,6:1.000000,
18,18-State_18.txt,ZUS,4200.0,city,4:1.000000,72:1.000000,0:0.007062;2:0.013171;7:0.979767,
19,19-State_19.txt,SIL,1720.0,large_town,1:1.000000,21:0.559522;38:0.440478,3:0.028304;6:0.696852;8:0.274844,
20,20-State_20.txt,IMF,1080.0,town,1:0.739457;4:0.260543,4:0.560959;72:0.439041,6:1.000000,
21,21-State_21.txt,SIL,3500.0,town,1:1.000000,21:1.000000,3:0.131147;7:0.868853,
22,22-State_22.txt,NAV,1250.0,city,1:1.000000,27:1.000000,6:0.183369;7:0.816631,
23,23-State_23.txt,SIL,1950.0,town,1:1.000000,21:1.000000,8:1.000000,
24,24-State_24.txt,NAV,1250.0,town,1:1.000000,27:1.000000,6:0.148652;7:0.851348,
25,25-State_25.txt,NEU,2950.0,city,1:1.000000,38:1.000000,6:0.099502;8:0.900498,
27,27-State_27.txt,SIL,7200.0,city,1:1.000000,1:0.473981;21:0.526019,4:0.029519;7:0.796831;8:0.173650,
28,28-State_28.txt,SOB,2100.0,large_town,2:1.000000,28:1.000000,0:0.927567;2:0.051190;7:0.021243,
29,29-State_29.txt,SIL,8100.0,large_town,1:1.000000,1:0.452998;21:0.547002,0:0.244757;3:0.249839;8:0.505404,
30,30-State_30.txt,SIL,6900.0,large_city,1:1.000000,1:0.463962;21:0.536038,0:0.186177;3:0.258340;8:0.555483,
31,31-State_31.txt,SIL,1900.0,town,1:1.000000,21:1.000000,6:1.000000,
32,32-State_32.txt,NAV,5750.0,megalopolis,1:0.751203;4:0.248797,4:1.000000,6:0.142787;7:0.857213,
33,33-State_33.txt,ZUS,3700.0,large_town,4:1.000000,72:1.000000,1:0.439705;2:0.010155;7:0.550140,
34,34-State_34.txt,SIL,27500.0,megalopolis,1:1.000000,1:1.000000,0:0.060115;2:0.046211;8:0.893674,
36,36-State_36.txt,SIL,26500.0,megalopolis,1:1.000000,1:1.000000,2:0.178969;4:0.174494;8:0.646537,
