state_id,file,owner,population_k,category,species,minority,cultures,politics,groups,warnings
4,4-East Infernum's Castle.txt,MER,1010.0,town,29,,68,4:0.561174;5:0.112538;6:0.326288,3,
5,5-New Iantrus.txt,SLC,5810.0,megalopolis,49,,51,9:1.000000,1,
7,7-State_7.txt,HYP,3500.0,large_city,1,,38,7:0.134916;8:0.865084,2,
8,8-State_8.txt,HYP,1200.0,large_town,1,,38,7:0.170522;8:0.829478,2,
11,11-State_11.txt,HYP,1900.0,large_town,1,,38,7:0.189502;8:0.810498,2,
12,12-Pawldrininsel.txt,IMF,95.0,rural,1,4,4,6:1.000000,2,
13,13-State_13.txt,SIL,2450.0,large_town,1,,21,4:0.066748;7:0.933252,2,
14,14-State_14.txt,HYP,1876.924,town,1,,38,7:0.155139;8:0.844861,2,
15,15-State_15.txt,POT,1669.231,large_town,1,,38,1:0.105787;2:0.141050;7:0.753163,3,
16,16-Nordkatzrrhen.txt,IMF,210.0,town,1,4,4,6:1.000000,2,
18,18-State_18.txt,ZUS,4200.0,city,4,,72,0:0.007062;2:0.013171;7:0.979767,3,
19,19-State_19.txt,SIL,1720.0,large_town,1,,21;38,3:0.028304;6:0.696852;8:0.274844,6,
20,20-State_20.txt,IMF,1080.0,town,1,4,4;72,6:1.000000,4,
21,21-State_21.txt,SIL,3500.0,town,1,,21,3:0.131147;7:0.868853,2,
22,22-State_22.txt,NAV,1250.0,city,1,,27,6:0.183369;7:0.816631,2,
23,23-State_23.txt,SIL,1950.0,town,1,,21,8:1.000000,1,
24,24-State_24.txt,NAV,1250.0,town,1,,27,6:0.148652;7:0.851348,2,
25,25-State_25.txt,NEU,2950.0,city,1,,38,6:0.099502;8:0.900498,2,
27,27-State_27.txt,SIL,7200.0,city,1,,1;21,4:0.029519;7:0.796831;8:0.173650,6,
28,28-State_28.txt,SOB,2100.0,large_town,2,,28,0:0.927567;2:0.051190;7:0.021243,3,
29,29-State_29.txt,SIL,8100.0,large_town,1,,1;21,0:0.244757;3:0.249839;8:0.505404,6,
30,30-State_30.txt,SIL,6900.0,large_city,1,,1;21,0:0.186177;3:0.258340;8:0.555483,6,
31,31-State_31.txt,SIL,1900.0,town,1,,21,6:1.000000,1,
32,32-State_32.txt,NAV,5750.0,megalopolis,1,4,4,6:0.142787;7:0.857213,4,
33,33-State_33.txt,ZUS,3700.0,large_town,4,,72,1:0.439705;2:0.010155;7:0.550140,3,
34,34-State_34.txt,SIL,27500.0,megalopolis,1,,1,0:0.060115;2:0.046211;8:0.893674,3,
36,36-State_36.txt,SIL,26500.0,megalopolis,1,,1,2:0.178969;4:0.174494;8:0.646537,3,
37,37-State_37.txt,PTQ,2258.667,town,1,4,4,1:0.056953;2:0.020182;6:0.922865,6,
38,38-State_38.txt,SIL,4100.0,town,1,,21,2:0.000010;5:0.999884;8:0.000106,3,
39,39-State_39.txt,SIL,7500.0,large_city,1,,1;21,2:0.106075;6:0.893925,4,
40,40-State_40.txt,FRA,3900.0,large_town,1,,39,2:0.129735;4:0.364191;6:0.506074,3,
41,41-State_41.txt,NEU,6800.0,city,1,,21;39,6:0.118167;7:0.268686;8:0.613147,6,
42,42-State_42.txt,SIL,9200.0,large_city,1,,1;21,2:0.019282;3:0.118595;7:0.862123,6,
43,43-State_43.txt,SIL,1350.0,rural,1,,21;40,6:0.490012;7:0.509988,4,
44,44-State_44.txt,SIL,24000.0,megalopolis,1,,1,3:0.103194;7:0.896806,2,
45,45-State_45.txt,SIL,26500.0,megalopolis,1,,1,0:0.048727;4:0.038481;8:0.912792,3,
47,47-State_47.txt,SIL,2200.0,town,1,,21;3,3:0.181294;6:0.685788;8:0.132919,6,
48,48-State_48.txt,FRA,2100.0,town,1,,27;39,2:0.109499;3:0.212349;4:0.678152,6,
49,49-State_49.txt,NKC,5670.0,large_town,5,,74,6:0.148602;7:0.851398,2,
50,50-State_50.txt,SIL,11500.0,large_city,1,,1;21,2:0.016388;6:0.275623;8:0.707989,6,
51,51-Pierwysp.txt,MER,350.0,town,29,,68,7:0.950681;8:0.049319,2,
52,52-Or Tigas.txt,KOL,220.0,pastoral,58,,55,0:0.232749;6:0.767251,2,
54,54-State_54.txt,PTQ,1940.0,rural,1,4,4,0:0.855689;2:0.144311,4,
55,55-Duuhr Sanctuary.txt,DUR,5000.0,town,50,,52,9:1.000000,1,
56,56-Fajnawysp.txt,MER,550.0,town,29,,68,0:0.214957;1:0.003097;6:0.781946,3,
57,57-State_57.txt,SIL,2500.0,town,1,,21;3,2:0.119878;3:0.880122,4,
58,58-State_58.txt,FRA,5700.0,city,1,,39,1:0.062681;2:0.273090;6:0.664228,3,
59,59-State_59.txt,KOL,370.0,pastoral,58,,53,6:0.009267;7:0.990733,2,
60,60-State_60.txt,NAV,4250.0,metropolis,1,,27,6:0.178044;7:0.821956,2,
62,62-State_62.txt,PAW,2387.5,large_town,1,,40,4:0.260860;8:0.739140,2,
65,65-State_65.txt,CLE,1434.285,town,1,,3,0:0.357505;7:0.642495,2,
66,66-State_66.txt,CLE,3200.0,large_town,1,11,3,3:0.120850;8:0.879150,4,
67,67-Drugirafa.txt,MER,630.0,town,29,,68,3:0.000034;7:0.999966,2,
68,68-State_68.txt,ENO,12.0,pastoral,27,,,1:0.381626;5:0.618374,0,no resolvable starting species/culture; arrays left empty
69,69-Clawlingen.txt,TAI,1414.736,city,1,,3,3:0.024258;7:0.628001;8:0.347741,3,
70,70-State_70.txt,PTQ,2460.0,rural,1,,4,0:0.015507;2:0.012907;6:0.971586,3,
71,71-State_71.txt,TEM,3252.632,large_town,27,,82,6:0.233406;8:0.766594,2,
73,73-State_73.txt,DUR,5000.0,rural,50,,52,9:1.000000,1,
74,74-State_74.txt,CLE,1738.462,large_town,1,,3,1:0.294953;7:0.705047,2,
76,76-State_76.txt,FOD,4765.388,city,24,1,81,3:0.029472;8:0.970528,4,
78,78-Tigar.txt,TAI,1173.333,rural,1,,3,3:0.133467;7:0.866533,2,
79,79-Clawsoule.txt,NKB,1631.25,pastoral,1,,39,3:0.016834;5:0.260075;7:0.723091,3,
80,80-Treciakraina.txt,MER,420.0,town,29,,68,5:0.656433;6:0.343567,2,
82,82-Mount Fleather.txt,FLE,1254.279,town,28,1,77,3:0.461538;4:0.276923;6:0.261538,6,
