##### Division Templates #####
division_template = {
	name = "Amphibian Liberation Troops"
	regiments = {
		infantry = { x = 0 y = 0 }
		infantry = { x = 0 y = 1 }
		infantry = { x = 0 y = 2 }
		infantry = { x = 1 y = 0 }
		infantry = { x = 1 y = 1 }
		infantry = { x = 1 y = 2 }
		artillery_brigade = { x = 2 y = 0 }
		anti_tank_brigade = { x = 2 y = 1 }
	}
	support = {
		artillery = { x = 0 y = 0 }
		engineer = { x = 0 y = 1 }
		recon = { x = 0 y = 2 }
	}
}

division_template = {
	name = "Garnison"
	regiments = {
		infantry = { x = 0 y = 0 }
		infantry = { x = 0 y = 1 }
		infantry = { x = 0 y = 2 }
		infantry = { x = 1 y = 0 }
		infantry = { x = 1 y = 1 }
		infantry = { x = 1 y = 2 }
		infantry = { x = 2 y = 0 }
		infantry = { x = 2 y = 1 }
		infantry = { x = 2 y = 2 }
		infantry = { x = 3 y = 0 }
		infantry = { x = 3 y = 1 }
		infantry = { x = 3 y = 2 }
	}
}

units = {
	# === Border troops - lined up along the ACR-FOD front (60 divisions) ===

	# State 149 border (section 1)
	division = { location = 541 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 541 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 5155 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 5155 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 14648 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 149 border (section 2)
	division = { location = 6532 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 6532 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 7577 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 7577 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 14834 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 149 border (section 3)
	division = { location = 8433 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 8433 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 11029 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 11029 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 11552 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 1048 border (section 1)
	division = { location = 5407 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 5407 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 5454 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 5454 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 5777 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 1048 border (section 2)
	division = { location = 6775 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 6775 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 9066 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 9066 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 9756 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 1048 border (section 3)
	division = { location = 11290 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 11290 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 11523 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 11523 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 15449 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }

	# State 1048 border (section 4 - all 10 border provinces already covered above, distributing remaining)
	division = { location = 15776 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 15776 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 15776 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
	division = { location = 5777 division_template = "Amphibian Liberation Troops" start_experience_factor = 0.3 }
