units= {
	fleet = {
		name = "Galletian Bay Flotilla"
		naval_base = 10166
		task_force = {
			name = "Galletian Bay Patrol Force"
			location = 10166

			# --- Battle Cruisers (Nuclear Cruisers) (3) ---
			ship = { name = "GDF Aelveahein" definition = battle_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Crumbrid" definition = battle_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Dourouhteid" definition = battle_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = GAL } } }

			# --- Light Cruisers (Destroyers) (12) ---
			ship = { name = "GDF Dahdaehrei" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Bakecelona" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Zaradoughza" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF San-Sebakestian" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Valledupèr" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Medoughlin" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Baguetta" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Bakecaramangé" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Armealnia" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Rhayman" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Mahin Geh" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Cookartagena" definition = light_cruiser equipment = { light_cruiser_1 = { amount = 1 owner = GAL } } }

			# --- Frigates (25) ---
			ship = { name = "GDF Churrilbao" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Xeirko" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Aelveahein II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Crumbrid II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Dourouhteid II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Dahdaehrei II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Bakecelona II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Zaradoughza II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF San-Sebakestian II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Valledupèr II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Medoughlin II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Baguetta II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Bakecaramangé II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Armealnia II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Rhayman II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Mahin Geh II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Cookartagena II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
			ship = { name = "GDF Churrilbao II" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = GAL } } }
