
units= {
	fleet = {
		name = "Battle Force"			
		naval_base = 12651
		task_force = {
			name = "Katzenseetruppen Remnants"
			location = 12651
			# --- Pride of the Fleet ---
			ship = { name = "KTS Douclaw" pride_of_the_fleet = yes definition = carrier equipment = { hyper_carrier_1 = { amount = 1 owner = NAV version_name = "Kattail Class" } } }

			# --- Carriers (10) ---
			ship = { name = "KTS Purris" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Paris + Purr
			ship = { name = "KTS Meowseille" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Marseille + Meow
			ship = { name = "KTS Lyonx" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Lyon + Lynx
			ship = { name = "KTS Whiskerbourg" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Strasbourg + Whisker
			ship = { name = "KTS Clawlouse" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Toulouse + Claw
			ship = { name = "KTS Huntpellier" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Montpellier + Hunt
			ship = { name = "KTS Pawdeaux" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Bordeaux + Paw
			ship = { name = "KTS Lilleap" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Lille + Leap
			ship = { name = "KTS Kittennes" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Rennes + Kitten
			ship = { name = "KTS Napterre" definition = carrier equipment = { carrier_2 = { amount = 1 owner = NAV } } } # Nanterre + Nap

			# --- Battleships (8) ---
			ship = { name = "KTS Furrlin" definition = battleship equipment = { battleship_2 = { amount = 1 owner = NAV } } } # Berlin + Fur
			ship = { name = "KTS Hambpurrg" definition = battleship equipment = { battleship_2 = { amount = 1 owner = NAV } } } # Hamburg + Purr
			ship = { name = "KTS Munchclaw" definition = battleship equipment = { battleship_2 = { amount = 1 owner = NAV } } } # Munich + Claw
			ship = { name = "KTS Collogne" definition = battleship equipment = { battleship_2 = { amount = 1 owner = NAV } } } # Cologne + Lionne (Lioness) or Cologne blend
			ship = { name = "KTS Frankfeline" definition = battleship equipment = { battleship_2 = { amount = 1 owner = NAV } } } # Frankfurt + Feline
			ship = { name = "KTS Tigart" definition = battleship equipment = { battleship_2 = { amount = 1 owner = NAV } } } # Stuttgart + Tiger
			ship = { name = "KTS Düsselclaw" definition = battleship equipment = { battleship_2 = { amount = 1 owner = NAV } } } # Düsseldorf + Claw
			ship = { name = "KTS Leipzigger" definition = battleship equipment = { battleship_2 = { amount = 1 owner = NAV } } } # Leipzig + Ginger/Tiger

			# --- Battle Cruisers (16) --- (Using heavy_cruiser definition with battle_cruiser equipment)
			ship = { name = "KTS Bremew" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Bremen + Mew
			ship = { name = "KTS Hissden" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Dresden + Hiss
			ship = { name = "KTS Hannapover" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Hanover + Nap
			ship = { name = "KTS Nurempurr" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Nuremberg + Purr
			ship = { name = "KTS Duispurrg" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Duisburg + Purr
			ship = { name = "KTS Bochumew" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Bochum + Mew
			ship = { name = "KTS Wuppawertal" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Wuppertal + Paw
			ship = { name = "KTS Bielefelion" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Bielefeld + Lion
			ship = { name = "KTS Bonneline" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Bonn + Feline
			ship = { name = "KTS Munstiger" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Münster + Tiger
			ship = { name = "KTS Karlskratch" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Karlsruhe + Scratch
			ship = { name = "KTS Mannhiss" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Mannheim + Hiss
			ship = { name = "KTS Clawgsburg" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Augsburg + Claw
			ship = { name = "KTS Wiesbadger" definition = heavy_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = NAV } } } # Wiesbaden + Badger (similar fierce animal) or Ginger
