[13:11:52][no_game_date][dlc.cpp:222]: Invalid supported_version in  file: mod/ugc_3368690477.mod line: 7
[13:11:52][no_game_date][persistent.cpp:66]: Error: "Unexpected token: pictire, near line: 9" in file: "mod/ugc_3587178170.mod" near line: 9
[13:11:52][no_game_date][dlc.cpp:222]: Invalid supported_version in  file: mod/ugc_3587178170.mod line: 11
[13:11:54][no_game_date][assetfactory.cpp:767]: Could not load animation file gfx/entities/flying_carrier_idle.anim (referenced near line 82 in gfx/entities/z_lok_armored_blimp_carrier.asset)
[13:11:57][no_game_date][map.cpp:670]: MAP_ERROR: Palette in rivers.bmp is probably not correct
[13:11:57][no_game_date][strategic_region_database.cpp:215]: map/weatherpositions.txt is empty.
[13:11:58][no_game_date][pdx_entity.cpp:2277]: Duplicate of katzen_infantry_entity added to entity system
[13:11:58][no_game_date][pdx_entity.cpp:2277]: Duplicate of katzen_infantry_entity added to entity system
[13:11:58][no_game_date][pdx_entity.cpp:2277]: Duplicate of motorized_entity added to entity system
[13:11:58][no_game_date][pdx_entity.cpp:2277]: Duplicate of mechanized_entity added to entity system
[13:11:58][no_game_date][pdx_entity.cpp:2277]: Duplicate of artillery_entity added to entity system
[13:11:58][no_game_date][countrytag.cpp:126]: SWE - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: NOR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: FIN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: DEN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: ICE - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SPR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: ITA - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SWI - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: HOL - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: BEL - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: LUX - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: AUS - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: CZE - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: YUG - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: ALB - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: HUN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GRE - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: BUL - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: ROM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: POL - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GER - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: LIT - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: LAT - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: EST - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: FIN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SWE - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: NOR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: DEN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: CHI - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GXC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: YUN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SHX - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: XSM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SIK - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GDC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SND - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SIC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: NXM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GSM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: XIC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KHM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KUM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: RNG - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GXC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: YUN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SHX - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: XSM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SIK - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GDC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SND - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SIC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: NXM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: GSM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: XIC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KHM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KUM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: HBC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SAU - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: OMA - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: YEM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: IRQ - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: FSA - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: JOR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: PAL - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SYR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: LEB - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: TUR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: QAT - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: BHR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: UAE - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: EGY - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SUD - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: LBA - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: ALG - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: MOR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: RIF - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: MAL - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: INS - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: MLD - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: BAN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: PAK - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: WES - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: MRT - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SOK - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: MLI - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: NGR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: NGA - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SOM - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: AFA - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: AZR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: DAG - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: CIN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: ALB - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: TAT - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: BSK - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: BUK - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KHI - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: UZB - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KAZ - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: TAJ - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KYR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: TMS - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KKP - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: SIN - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KAS - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: CRI - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KOS - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: KUR - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: BLC - is not in the tag list
[13:11:58][no_game_date][countrytag.cpp:126]: IMO - is not in the tag list
